,confirmados_novos,internados,internados_uci,lab,vigilancia,obitos_novos,suspeitos_novos,lab_lag_1,lab_lag_2,suspeitos_novos_lag_1,suspeitos_novos_lag_2,suspeitos_novos_lag_3,suspeitos_novos_lag_4,suspeitos_novos_lag_5,suspeitos_novos_lag_6,suspeitos_novos_lag_7,suspeitos_novos_lag_8,vigilancia_lag_1,vigilancia_lag_2,vigilancia_lag_3,vigilancia_lag_4,vigilancia_lag_5,vigilancia_lag_6,vigilancia_lag_7,vigilancia_lag_8,obitos_novos_lag_1,obitos_novos_lag_2,obitos_novos_lag_3,obitos_novos_lag_4,obitos_novos_lag_5,obitos_novos_lag_6,obitos_novos_lag_7,obitos_novos_lag_8,confirmados_novos_lag_1,confirmados_novos_lag_2,confirmados_novos_lag_3,confirmados_novos_lag_4,confirmados_novos_lag_5,confirmados_novos_lag_6,confirmados_novos_lag_7,confirmados_novos_lag_8,obitos_novos_trend_15,obitos_novos_trend_16,obitos_novos_trend_17,obitos_novos_trend_18,obitos_novos_trend_19,obitos_novos_trend_20,obitos_novos_trend_21,obitos_novos_trend_22,obitos_novos_trend_23,obitos_novos_trend_24,obitos_novos_trend_25,obitos_novos_trend_26,obitos_novos_trend_27,obitos_novos_trend_28,obitos_novos_trend_29,obitos_novos_trend_30,obitos_novos_trend_31,confirmados_novos_trend_15,confirmados_novos_trend_16,confirmados_novos_trend_17,confirmados_novos_trend_18,confirmados_novos_trend_19,confirmados_novos_trend_20,confirmados_novos_trend_21,confirmados_novos_trend_22,confirmados_novos_trend_23,confirmados_novos_trend_24,confirmados_novos_trend_25,confirmados_novos_trend_26,confirmados_novos_trend_27,confirmados_novos_trend_28,confirmados_novos_trend_29,confirmados_novos_trend_30,confirmados_novos_trend_31
0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,0.0,0.0,0.0,81.0,0.0,16.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3,9.0,0.0,0.0,213.0,0.0,30.0,0.0,0.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4,13.0,0.0,30.0,354.0,0.0,34.0,0.0,0.0,30.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,213.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2,2,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,8,21.0,0.0,47.0,412.0,0.0,43.0,30.0,0.0,34.0,30.0,16.0,16.0,0.0,0.0,0.0,0.0,354.0,213.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,3,2,2,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,9,30.0,0.0,56.0,447.0,0.0,57.0,47.0,30.0,43.0,34.0,30.0,16.0,16.0,0.0,0.0,0.0,412.0,354.0,213.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,4,3,2,2,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,9,38.0,0.0,67.0,496.0,0.0,58.0,56.0,47.0,57.0,43.0,34.0,30.0,16.0,16.0,0.0,0.0,447.0,412.0,354.0,213.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,8,4,3,2,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2,40.0,0.0,83.0,667.0,0.0,36.0,67.0,56.0,58.0,57.0,43.0,34.0,30.0,16.0,16.0,0.0,496.0,447.0,412.0,354.0,213.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,9,8,4,3,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,18,57.0,0.0,83.0,3066.0,0.0,96.0,83.0,67.0,36.0,58.0,57.0,43.0,34.0,30.0,16.0,16.0,667.0,496.0,447.0,412.0,354.0,213.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,9,9,8,4,3,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,19,69.0,0.0,133.0,4923.0,0.0,166.0,83.0,83.0,96.0,36.0,58.0,57.0,43.0,34.0,30.0,16.0,3066.0,667.0,496.0,447.0,412.0,354.0,213.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,2,9,9,8,4,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,34,107.0,0.0,172.0,5674.0,0.0,671.0,133.0,83.0,166.0,96.0,36.0,58.0,57.0,43.0,34.0,30.0,4923.0,3066.0,667.0,496.0,447.0,412.0,354.0,213.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,18,2,9,9,8,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,57,114.0,10.0,126.0,5011.0,0.0,396.0,172.0,133.0,671.0,166.0,96.0,36.0,58.0,57.0,43.0,34.0,5674.0,4923.0,3066.0,667.0,496.0,447.0,412.0,354.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,19,18,2,9,9,8,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,76,139.0,9.0,281.0,4592.0,0.0,567.0,126.0,172.0,396.0,671.0,166.0,96.0,36.0,58.0,57.0,43.0,5011.0,5674.0,4923.0,3066.0,667.0,496.0,447.0,412.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57,34,19,18,2,9,9,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,86,139.0,18.0,374.0,4592.0,0.0,637.0,281.0,126.0,567.0,396.0,671.0,166.0,96.0,36.0,58.0,57.0,4592.0,5011.0,5674.0,4923.0,3066.0,667.0,496.0,447.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76,57,34,19,18,2,9,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,117,206.0,17.0,323.0,6852.0,1.0,1122.0,374.0,281.0,637.0,567.0,396.0,671.0,166.0,96.0,36.0,58.0,4592.0,4592.0,5011.0,5674.0,4923.0,3066.0,667.0,496.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86,76,57,34,19,18,2,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,194,89.0,20.0,351.0,6656.0,0.0,1037.0,323.0,374.0,1122.0,637.0,567.0,396.0,671.0,166.0,96.0,36.0,6852.0,4592.0,4592.0,5011.0,5674.0,4923.0,3066.0,667.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117,86,76,57,34,19,18,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,143,89.0,20.0,488.0,8091.0,2.0,994.0,351.0,323.0,1037.0,1122.0,637.0,567.0,396.0,671.0,166.0,96.0,6656.0,6852.0,4592.0,4592.0,5011.0,5674.0,4923.0,3066.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,194,117,86,76,57,34,19,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.5,70.5,70.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,235,126.0,26.0,850.0,9008.0,3.0,1671.0,488.0,351.0,994.0,1037.0,1122.0,637.0,567.0,396.0,671.0,166.0,8091.0,6656.0,6852.0,4592.0,4592.0,5011.0,5674.0,4923.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,143,194,117,86,76,57,34,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.33333333333333,116.5,116.5,116.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,260,156.0,35.0,1059.0,13155.0,6.0,2122.0,850.0,488.0,1671.0,994.0,1037.0,1122.0,637.0,567.0,396.0,671.0,9008.0,8091.0,6656.0,6852.0,4592.0,4592.0,5011.0,5674.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,235,143,194,117,86,76,57,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,85.66666666666667,129.0,129.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,320,169.0,41.0,1152.0,12562.0,2.0,1925.0,1059.0,850.0,2122.0,1671.0,994.0,1037.0,1122.0,637.0,567.0,396.0,13155.0,9008.0,8091.0,6656.0,6852.0,4592.0,4592.0,5011.0,6.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,260,235,143,194,117,86,76,57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,79.0,105.66666666666667,159.0,159.0,159.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,460,201.0,47.0,1402.0,11842.0,9.0,1895.0,1152.0,1059.0,1925.0,2122.0,1671.0,994.0,1037.0,1122.0,637.0,567.0,12562.0,13155.0,9008.0,8091.0,6656.0,6852.0,4592.0,4592.0,2.0,6.0,3.0,2.0,0.0,1.0,0.0,0.0,320,260,235,143,194,117,86,76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.111111111111114,56.5,114.0,152.33333333333334,229.0,229.0,229.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,302,203.0,48.0,1783.0,11842.0,10.0,1800.0,1402.0,1152.0,1895.0,1925.0,2122.0,1671.0,994.0,1037.0,1122.0,637.0,11842.0,12562.0,13155.0,9008.0,8091.0,6656.0,6852.0,4592.0,9.0,2.0,6.0,3.0,2.0,0.0,1.0,0.0,460,320,260,235,143,194,117,86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.55555555555556,32.55555555555556,36.75,74.5,99.66666666666667,150.0,150.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
