,location,new_cases_per_million,new_deaths_per_million
0,Austria,1.3319999999999999,0.0
1,Austria,3.6639999999999997,0.0
2,Austria,2.7760000000000002,0.0
3,Austria,0.33299999999999996,0.0
4,Austria,3.22,0.0
5,Austria,5.662999999999999,0.0
6,Austria,7.106,0.0
7,Austria,12.769,0.111
8,Austria,15.878,0.0
9,Austria,16.766,0.0
10,Austria,22.761999999999997,0.0
11,Austria,17.320999999999998,0.222
12,Austria,35.086,0.0
13,Austria,34.864000000000004,0.111
14,Austria,61.068000000000005,0.222
15,Austria,50.298,0.0
16,Austria,41.637,0.222
17,Austria,67.39699999999999,0.888
18,Austria,94.932,0.9990000000000001
19,Austria,88.382,0.555
20,Austria,67.285,0.444
21,Austria,126.68799999999999,1.999
22,Austria,74.169,1.777
23,Austria,65.953,0.0
24,Austria,57.958999999999996,1.999
25,Austria,89.381,2.443
26,Austria,62.622,2.221
27,Austria,58.736000000000004,1.999
28,Austria,46.411,1.3319999999999999
29,Austria,43.968999999999994,1.11
30,Austria,26.759,1.999
31,Austria,24.094,1.999
32,Austria,34.864000000000004,1.777
33,Austria,38.084,2.5540000000000003
34,Austria,36.53,3.3310000000000004
35,Austria,30.978,2.443
36,Austria,34.641999999999996,2.665
37,Austria,27.425,1.999
38,Austria,14.434000000000001,1.443
39,Austria,11.769,1.999
40,Austria,21.206999999999997,1.777
41,Austria,15.1,0.9990000000000001
42,Austria,8.661,1.8880000000000001
43,Austria,17.21,2.332
44,Austria,6.551,1.3319999999999999
45,Austria,5.33,0.9990000000000001
46,Austria,8.105,1.11
47,Austria,5.5520000000000005,0.111
48,Austria,10.104,3.4419999999999997
49,Austria,6.773,1.554
50,Austria,9.216000000000001,0.555
51,Austria,7.327999999999999,2.5540000000000003
52,Austria,6.107,0.6659999999999999
53,Austria,7.439,0.777
54,Austria,6.44,2.221
55,Austria,5.5520000000000005,1.2209999999999999
56,Austria,6.662000000000001,0.444
57,Austria,3.775,0.555
58,Austria,1.3319999999999999,0.777
59,Austria,7.55,0.222
60,Austria,3.4419999999999997,0.222
61,Austria,1.8880000000000001,0.6659999999999999
62,Austria,7.2170000000000005,0.222
63,Austria,2.443,0.111
64,Austria,6.8839999999999995,0.555
65,Austria,4.663,0.111
66,Austria,1.11,0.33299999999999996
67,Austria,9.66,0.222
68,Austria,3.997,0.33299999999999996
69,Austria,5.996,0.111
70,Austria,4.552,0.222
71,Austria,6.995,0.222
72,Austria,7.994,0.0
73,Austria,1.554,0.111
74,Austria,2.7760000000000002,0.0
75,Austria,8.661,0.33299999999999996
76,Austria,1.999,0.111
77,Austria,6.329,0.0
78,Austria,3.22,0.222
79,Austria,5.107,0.444
80,Austria,3.553,0.111
